GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27
Id,Id2,Geography,Total; Estimate; Population 16 years and over with earnings,Total; Margin of Error; Population 16 years and over with earnings,Male; Estimate; Population 16 years and over with earnings,Male; Margin of Error; Population 16 years and over with earnings,Female; Estimate; Population 16 years and over with earnings,Female; Margin of Error; Population 16 years and over with earnings,Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),"Total; Estimate; Full-time, year-round workers with earnings","Total; Margin of Error; Full-time, year-round workers with earnings","Male; Estimate; Full-time, year-round workers with earnings","Male; Margin of Error; Full-time, year-round workers with earnings","Female; Estimate; Full-time, year-round workers with earnings","Female; Margin of Error; Full-time, year-round workers with earnings","Total; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Total; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more","Male; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Male; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more","Female; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Female; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more",Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),Total; Estimate; Mean earnings (dollars),Total; Margin of Error; Mean earnings (dollars),Male; Estimate; Mean earnings (dollars),Male; Margin of Error; Mean earnings (dollars),Female; Estimate; Mean earnings (dollars),Female; Margin of Error; Mean earnings (dollars),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Male; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Male; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Female; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Female; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months
0500000US01001,01001,"Autauga County, Alabama",27137,603,14171,370,12966,483,30760,1117,39069,1699,22437,1792,18470,828,10474,483,7996,564,2.4,0.9,1.5,0.8,3.7,1.8,3.8,1.1,1.9,0.8,6.3,2.2,16.3,2.5,10.7,2.4,23.6,3.9,17.3,2.3,13.3,2.3,22.6,4.0,23.7,2.4,25.9,3.0,20.9,3.8,14.5,2.1,16.0,3.0,12.4,2.9,4.5,1.0,5.6,1.5,3.1,1.4,9.7,1.4,13.7,2.4,4.4,1.5,7.8,1.5,11.4,2.4,3.1,1.6,(X),(X),47713,3154,31786,1309,49180,2184,57626,3162,38117,2300,35422,1560,42080,1865,26389,1336,16164,2825,23125,7511,13362,4382,29219,3643,34839,3057,22725,3562,34512,3044,44701,5443,23715,3162,50931,4805,59558,4190,38813,6995,53171,4797,76576,7260,46293,5058,16.6,(X),(X),(X),(X),(X)
0500000US01003,01003,"Baldwin County, Alabama",96806,1406,51583,1023,45223,1045,27557,1458,33902,3274,22355,1102,59877,1733,34902,1234,24975,1164,2.4,0.6,2.6,0.8,2.1,0.7,4.1,0.7,2.6,0.8,6.2,1.1,17.8,1.6,14.2,1.9,22.7,2.6,17.1,1.4,14.6,1.6,20.7,2.5,20.6,1.6,19.2,1.8,22.6,2.6,13.7,1.2,14.7,1.7,12.3,1.9,5.8,0.9,6.5,1.2,4.8,1.2,7.0,0.8,8.4,1.1,5.1,1.1,11.4,1.1,17.2,1.7,3.3,0.8,(X),(X),47113,1975,33730,2053,54512,1948,64924,2958,39962,1285,31531,879,40128,1991,25120,1285,17313,3102,21088,3025,11497,2239,25339,1066,30163,1903,19642,1969,30176,1691,41395,2087,23036,1315,46114,2436,61756,7181,38313,3223,53906,1722,80038,10011,48693,5396,17.5,(X),(X),(X),(X),(X)
0500000US01005,01005,"Barbour County, Alabama",10514,446,5737,401,4777,247,22369,1442,26929,3162,19448,1253,6309,430,3639,377,2670,228,1.7,0.9,1.8,1.0,1.6,1.4,5.6,1.7,3.5,2.1,8.4,3.0,26.0,4.0,20.1,4.6,34.0,6.4,19.4,2.7,19.0,4.4,20.0,4.2,19.0,3.3,22.5,4.7,14.3,3.6,12.4,2.0,11.7,3.0,13.5,3.6,3.8,1.3,5.2,2.2,1.9,1.2,7.6,2.0,10.8,3.2,3.1,2.2,4.5,1.3,5.5,1.8,3.1,1.9,(X),(X),37242,2764,27124,3347,41665,2254,46490,3022,35090,2855,25941,1413,31975,2381,21220,1316,22589,2774,24112,3378,16250,10332,21232,1478,30696,5624,17706,1750,26146,3322,37076,4317,20224,2514,41224,4146,44402,8543,35900,8080,50678,3822,55341,45677,50614,2923,21.8,(X),(X),(X),(X),(X)
0500000US01007,01007,"Bibb County, Alabama",9343,478,5379,314,3964,311,25968,2076,31190,1398,18562,1824,6323,497,4148,324,2175,306,2.3,1.7,2.2,1.9,2.3,2.6,7.5,3.1,6.7,3.6,9.0,6.0,20.1,4.7,14.7,4.3,30.3,8.4,22.6,4.3,25.7,5.9,16.8,6.0,20.6,5.0,18.3,5.2,24.9,8.6,14.6,3.8,19.6,5.9,5.1,2.9,4.9,2.6,2.9,1.5,8.6,7.2,4.3,1.5,6.0,2.3,1.1,0.9,3.2,1.2,3.9,1.6,1.9,2.2,(X),(X),35904,6994,30082,7183,40719,2832,43871,3308,34707,3896,29113,3055,33458,3854,20031,2340,18625,6482,23563,7048,13843,3333,28832,2899,34183,6428,17350,2912,29941,5931,40084,13072,23250,5992,27959,3791,30245,5935,19088,2407,48207,9620,52321,27741,47500,7875,26.0,(X),(X),(X),(X),(X)
0500000US01009,01009,"Blount County, Alabama",24825,561,13833,424,10992,462,30838,980,36320,2392,23645,1724,16901,667,10015,467,6886,461,1.6,0.8,1.1,0.9,2.2,1.3,5.3,1.4,3.5,1.5,7.9,2.5,16.6,2.5,12.8,2.7,22.1,4.1,18.6,2.1,18.1,2.9,19.5,3.5,23.5,2.5,23.2,3.1,24.0,3.4,17.1,2.2,18.3,2.9,15.2,3.2,6.8,1.2,8.3,1.9,4.7,2.0,6.0,1.2,8.4,1.7,2.5,1.4,4.5,1.2,6.3,1.9,1.9,1.0,(X),(X),43315,2639,33650,3127,45200,1584,50169,2203,37973,2086,34549,2591,40735,1318,26825,2540,24836,3713,30798,2583,13781,2022,29414,3415,36686,3111,22356,2895,36320,1821,44888,3336,27318,4283,51563,5895,59896,8613,42393,5878,51771,2342,56875,13875,51146,2894,16.5,(X),(X),(X),(X),(X)
0500000US01011,01011,"Bullock County, Alabama",4478,401,2615,307,1863,284,22074,2847,28806,5848,17768,2579,3063,386,1855,320,1208,241,2.3,2.0,0.1,0.2,5.6,4.8,11.0,4.1,3.0,3.1,23.3,8.8,31.3,7.6,27.3,10.8,37.5,9.2,23.5,5.4,28.2,8.1,16.3,8.6,17.5,5.7,23.4,8.6,8.4,4.0,7.5,4.6,9.6,8.1,4.2,3.2,1.6,1.6,2.6,2.6,0.0,2.4,2.0,1.6,2.0,2.6,2.0,2.8,3.4,2.3,3.8,3.4,2.6,3.3,(X),(X),33231,2430,20561,2537,34157,3280,38835,5531,26972,4024,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.8,(X),(X),(X),(X),(X)
0500000US01013,01013,"Butler County, Alabama",8592,312,4166,179,4426,263,25570,1278,30631,1767,21468,1574,5898,277,2906,209,2992,211,3.0,1.4,2.0,1.4,4.1,2.5,6.3,1.8,1.9,1.4,10.6,3.4,23.3,3.5,17.0,5.1,29.4,4.9,24.3,3.1,24.8,4.6,23.8,4.6,18.6,2.6,23.1,3.9,14.2,3.3,13.0,2.7,14.5,3.5,11.5,3.7,2.6,0.9,2.9,1.3,2.3,1.5,6.3,1.6,9.3,2.7,3.4,1.8,2.6,0.9,4.6,1.9,0.6,0.7,(X),(X),37062,3255,26875,1921,38521,1703,45618,2782,31628,2162,27488,1995,32107,1615,23233,2145,18653,2426,20625,4778,15236,7348,22864,2623,30323,2496,18757,1158,29105,3242,38387,4922,24105,2610,42621,6068,46389,9306,40430,8070,51468,1481,52955,7317,51161,1998,22.0,(X),(X),(X),(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",55925,862,29367,558,26558,625,23537,1040,29971,1857,19353,1153,32697,965,18978,722,13719,628,2.3,0.7,1.4,0.8,3.6,1.3,6.0,0.9,4.9,1.3,7.6,1.6,20.3,1.9,17.2,2.4,24.7,2.8,18.0,1.9,14.7,2.0,22.5,2.8,20.8,2.0,20.7,2.6,20.9,2.3,16.0,1.5,19.0,2.2,12.0,1.9,4.8,0.8,6.0,1.3,3.2,1.1,6.9,1.0,9.4,1.6,3.3,1.0,4.9,0.9,6.8,1.3,2.3,0.7,(X),(X),42300,2290,30673,1042,44105,1397,49367,1861,36825,1717,28449,1647,36175,2118,22488,1077,15924,1595,20869,1888,11592,1899,25990,1417,32003,2069,20168,1687,28995,2805,40301,2021,22038,1486,39086,4106,46582,3990,33036,4481,48712,2299,51297,10184,47576,2662,18.6,(X),(X),(X),(X),(X)
0500000US01017,01017,"Chambers County, Alabama",14697,532,7536,321,7161,379,26396,1209,31344,1648,22726,1613,10368,559,5583,376,4785,338,2.1,0.9,1.1,0.6,3.2,1.9,6.7,1.5,6.2,2.1,7.4,2.2,22.8,2.6,19.7,4.0,26.4,3.6,21.1,2.9,17.8,3.3,25.1,4.7,21.7,2.7,22.0,3.1,21.3,4.4,11.9,2.0,15.2,3.1,8.0,3.0,5.7,1.4,6.8,2.1,4.5,2.1,5.1,1.2,6.4,1.8,3.6,1.5,3.0,1.0,4.9,1.9,0.7,0.6,(X),(X),37170,3536,29898,1638,43407,3714,51427,6716,34048,1845,28983,1929,32471,2176,25531,1342,21271,1086,26745,7905,16827,1933,24720,1864,28621,3697,21637,1652,30737,1179,34328,6212,29640,1884,48315,6569,51767,14109,42390,3857,50189,4064,58500,10269,44063,10966,21.3,(X),(X),(X),(X),(X)
